distance_to_pipe,current_y,velocity,pipe_y,y_error,action
330,201.5,1.0,117,7140.25,0
320,203.0,1.5,117,7396.0,0
310,205.0,2.0,117,7744.0,0
300,207.5,2.5,117,8190.25,0
290,210.5,3.0,117,8742.25,0
280,214.0,3.5,117,9409.0,0
270,218.0,4.0,117,10201.0,0
260,222.5,4.5,117,11130.25,0
250,227.5,5.0,117,12210.25,0
240,233.0,5.5,117,13456.0,0
230,239.0,6.0,117,14884.0,0
220,245.5,6.5,117,16512.25,0
210,252.5,7.0,117,18360.25,0
200,260.0,7.5,117,20449.0,0
190,268.0,8.0,117,22801.0,0
180,276.5,8.5,117,25440.25,0
170,285.5,9.0,117,28392.25,0
160,295.0,9.5,117,31684.0,0
150,305.0,10.0,117,35344.0,0
140,315.5,10.5,117,39402.25,0
130,326.5,11.0,117,43890.25,0
120,338.0,11.5,117,48841.0,0
110,350.0,12.0,117,54289.0,0
100,362.5,12.5,117,60270.25,0
90,375.5,13.0,117,66822.25,0
350,200,0,125,5625,0
340,200.5,0.5,125,5700.25,0
330,201.5,1.0,125,5852.25,0
320,203.0,1.5,125,6084.0,1
310,195.5,-7.5,125,4970.25,0
300,188.5,-7.0,125,4032.25,0
290,182.0,-6.5,125,3249.0,0
280,176.0,-6.0,125,2601.0,0
270,170.5,-5.5,125,2070.25,0
260,165.5,-5.0,125,1640.25,0
250,161.0,-4.5,125,1296.0,0
240,157.0,-4.0,125,1024.0,0
